CMDLINE uvicorn app.main:app
MEM 0.125000 1783103107.1265
MEM 36.046875 1783103107.2316
MEM 40.062500 1783103107.3367
MEM 41.718750 1783103107.4418
MEM 43.843750 1783103107.5469
MEM 47.187500 1783103107.6520
MEM 48.062500 1783103107.7571
MEM 48.718750 1783103107.8621
MEM 48.984375 1783103107.9672
MEM 49.562500 1783103108.0722
MEM 50.203125 1783103108.1772
MEM 52.796875 1783103108.2823
MEM 53.921875 1783103108.3873
MEM 56.281250 1783103108.4923
MEM 57.500000 1783103108.5974
MEM 59.000000 1783103108.7026
MEM 59.578125 1783103108.8076
MEM 60.734375 1783103108.9126
MEM 62.281250 1783103109.0177
MEM 62.796875 1783103109.1227
MEM 65.234375 1783103109.2277
MEM 67.812500 1783103109.3328
MEM 70.328125 1783103109.4378
MEM 70.531250 1783103109.5428
MEM 70.984375 1783103109.6479
MEM 71.296875 1783103109.7529
MEM 71.484375 1783103109.8579
MEM 71.703125 1783103109.9624
MEM 71.734375 1783103110.0675
MEM 72.765625 1783103110.1726
MEM 73.078125 1783103110.2776
MEM 74.453125 1783103110.3828
MEM 74.984375 1783103110.4878
MEM 75.468750 1783103110.5929
MEM 77.281250 1783103110.6979
MEM 78.671875 1783103110.8029
MEM 78.906250 1783103110.9080
MEM 80.046875 1783103111.0130
MEM 82.906250 1783103111.1180
MEM 83.812500 1783103111.2231
MEM 85.796875 1783103111.3281
MEM 88.109375 1783103111.4331
MEM 90.734375 1783103111.5382
MEM 92.718750 1783103111.6433
MEM 95.984375 1783103111.7484
MEM 98.765625 1783103111.8535
MEM 100.812500 1783103111.9542
MEM 103.468750 1783103112.0594
MEM 110.359375 1783103112.1645
MEM 113.218750 1783103112.2695
MEM 116.062500 1783103112.3746
MEM 117.953125 1783103112.4797
MEM 120.078125 1783103112.5848
MEM 121.843750 1783103112.6898
MEM 124.328125 1783103112.7949
MEM 126.156250 1783103112.8999
MEM 128.703125 1783103113.0050
MEM 135.468750 1783103113.1101
MEM 138.093750 1783103113.2152
MEM 140.812500 1783103113.3202
MEM 143.437500 1783103113.4253
MEM 145.500000 1783103113.5303
MEM 147.390625 1783103113.6354
MEM 149.921875 1783103113.7404
MEM 152.484375 1783103113.8454
MEM 154.453125 1783103113.9505
MEM 156.015625 1783103114.0557
MEM 158.515625 1783103114.1586
MEM 160.859375 1783103114.2636
MEM 162.046875 1783103114.3688
MEM 164.921875 1783103114.4739
MEM 167.687500 1783103114.5790
MEM 170.140625 1783103114.6841
MEM 172.250000 1783103114.7892
MEM 181.937500 1783103114.8943
MEM 183.875000 1783103114.9994
MEM 185.765625 1783103115.1044
MEM 186.984375 1783103115.2094
MEM 188.625000 1783103115.3144
MEM 190.437500 1783103115.4195
MEM 192.859375 1783103115.5245
MEM 195.750000 1783103115.6296
MEM 198.671875 1783103115.7346
MEM 201.593750 1783103115.8397
MEM 204.562500 1783103115.9449
MEM 207.625000 1783103116.0500
MEM 209.656250 1783103116.1550
MEM 212.078125 1783103116.2601
MEM 214.906250 1783103116.3651
MEM 216.984375 1783103116.4702
MEM 227.546875 1783103116.5753
MEM 228.781250 1783103116.6803
MEM 231.015625 1783103116.7854
MEM 233.078125 1783103116.8904
MEM 235.296875 1783103116.9954
MEM 237.078125 1783103117.1005
MEM 239.015625 1783103117.2056
MEM 240.828125 1783103117.3106
MEM 242.546875 1783103117.4157
MEM 244.609375 1783103117.5207
MEM 247.328125 1783103117.6257
MEM 251.609375 1783103117.7308
MEM 253.546875 1783103117.8359
MEM 256.312500 1783103117.9409
MEM 257.906250 1783103118.0460
MEM 259.921875 1783103118.1461
MEM 263.000000 1783103118.2512
MEM 265.015625 1783103118.3562
MEM 267.750000 1783103118.4613
MEM 270.859375 1783103118.5663
MEM 272.000000 1783103118.6713
MEM 273.921875 1783103118.7764
MEM 276.203125 1783103118.8814
MEM 277.828125 1783103118.9865
MEM 279.359375 1783103119.0916
MEM 280.515625 1783103119.1966
MEM 281.703125 1783103119.3016
MEM 282.359375 1783103119.4066
MEM 283.359375 1783103119.5117
