CMDLINE uvicorn app.main:app
MEM 0.125000 1783103696.2056
MEM 36.343750 1783103696.3108
MEM 40.546875 1783103696.4159
MEM 41.984375 1783103696.5209
MEM 44.093750 1783103696.6259
MEM 47.515625 1783103696.7310
MEM 48.390625 1783103696.8360
MEM 48.953125 1783103696.9411
MEM 49.265625 1783103697.0461
MEM 49.937500 1783103697.1511
MEM 50.937500 1783103697.2562
MEM 53.156250 1783103697.3613
MEM 54.796875 1783103697.4664
MEM 56.656250 1783103697.5714
MEM 58.078125 1783103697.6764
MEM 59.359375 1783103697.7815
MEM 60.031250 1783103697.8865
MEM 61.562500 1783103697.9915
MEM 62.718750 1783103698.0966
MEM 63.718750 1783103698.2016
MEM 66.234375 1783103698.3066
MEM 70.046875 1783103698.4117
MEM 70.640625 1783103698.5167
MEM 71.046875 1783103698.6217
MEM 71.218750 1783103698.7268
MEM 71.656250 1783103698.8318
MEM 71.687500 1783103698.9368
MEM 71.937500 1783103699.0419
MEM 72.000000 1783103699.1469
MEM 73.093750 1783103699.2519
MEM 73.718750 1783103699.3570
MEM 74.812500 1783103699.4620
MEM 75.218750 1783103699.5670
MEM 75.671875 1783103699.6720
MEM 77.890625 1783103699.7771
MEM 78.953125 1783103699.8821
MEM 79.109375 1783103699.9871
MEM 80.328125 1783103700.0921
MEM 83.078125 1783103700.1972
MEM 84.281250 1783103700.3023
MEM 86.187500 1783103700.4073
MEM 88.406250 1783103700.5123
MEM 91.062500 1783103700.6174
MEM 93.406250 1783103700.7225
MEM 96.406250 1783103700.8275
MEM 98.984375 1783103700.9325
MEM 101.281250 1783103701.0376
MEM 104.312500 1783103701.1426
MEM 110.953125 1783103701.2477
MEM 113.828125 1783103701.3527
MEM 116.468750 1783103701.4579
MEM 118.203125 1783103701.5630
MEM 120.343750 1783103701.6681
MEM 122.312500 1783103701.7732
MEM 124.578125 1783103701.8783
MEM 126.546875 1783103701.9834
MEM 129.031250 1783103702.0885
MEM 135.609375 1783103702.1936
MEM 138.250000 1783103702.2987
MEM 140.953125 1783103702.4037
MEM 143.546875 1783103702.5088
MEM 145.578125 1783103702.6138
MEM 147.468750 1783103702.7189
MEM 149.984375 1783103702.8239
MEM 152.656250 1783103702.9289
MEM 154.421875 1783103703.0340
MEM 156.078125 1783103703.1391
MEM 158.656250 1783103703.2442
MEM 160.984375 1783103703.3492
MEM 162.265625 1783103703.4543
MEM 165.265625 1783103703.5593
MEM 168.187500 1783103703.6644
MEM 170.609375 1783103703.7694
MEM 172.640625 1783103703.8744
MEM 182.484375 1783103703.9795
MEM 184.296875 1783103704.0845
MEM 186.156250 1783103704.1895
MEM 187.234375 1783103704.2946
MEM 189.078125 1783103704.3997
MEM 190.734375 1783103704.5047
MEM 193.421875 1783103704.6098
MEM 196.281250 1783103704.7148
MEM 199.437500 1783103704.8199
MEM 202.031250 1783103704.9249
MEM 205.390625 1783103705.0300
MEM 208.015625 1783103705.1350
MEM 210.203125 1783103705.2401
MEM 212.718750 1783103705.3451
MEM 215.656250 1783103705.4502
MEM 217.468750 1783103705.5553
MEM 227.734375 1783103705.6604
MEM 228.812500 1783103705.7655
MEM 231.015625 1783103705.8706
MEM 233.125000 1783103705.9756
MEM 234.140625 1783103706.0807
MEM 236.015625 1783103706.1858
MEM 237.937500 1783103706.2884
MEM 239.734375 1783103706.3935
MEM 241.500000 1783103706.4985
MEM 243.546875 1783103706.6035
MEM 246.265625 1783103706.7085
MEM 250.531250 1783103706.8136
MEM 252.406250 1783103706.9187
MEM 255.328125 1783103707.0237
MEM 256.812500 1783103707.1288
MEM 259.281250 1783103707.2338
MEM 262.125000 1783103707.3388
MEM 264.437500 1783103707.4439
MEM 266.906250 1783103707.5489
MEM 270.046875 1783103707.6540
MEM 271.234375 1783103707.7590
MEM 273.406250 1783103707.8640
MEM 275.515625 1783103707.9691
MEM 277.062500 1783103708.0741
MEM 278.671875 1783103708.1792
MEM 279.796875 1783103708.2842
MEM 280.750000 1783103708.3892
MEM 281.390625 1783103708.4943
MEM 282.765625 1783103708.5993
MEM 284.343750 1783103708.7043
MEM 285.890625 1783103708.8093
MEM 287.562500 1783103708.9144
MEM 288.734375 1783103709.0194
MEM 290.218750 1783103709.1244
MEM 291.593750 1783103709.2294
MEM 292.750000 1783103709.3345
MEM 293.812500 1783103709.4395
MEM 295.125000 1783103709.5445
MEM 296.390625 1783103709.6496
MEM 297.406250 1783103709.7547
MEM 298.265625 1783103709.8597
MEM 299.453125 1783103709.9647
MEM 299.796875 1783103710.0697
MEM 300.359375 1783103710.1748
MEM 301.375000 1783103710.2798
MEM 302.296875 1783103710.3849
MEM 303.187500 1783103710.4900
MEM 304.109375 1783103710.5950
MEM 305.015625 1783103710.7000
MEM 305.953125 1783103710.8051
MEM 307.031250 1783103710.9101
MEM 307.781250 1783103711.0151
MEM 308.578125 1783103711.1201
MEM 309.531250 1783103711.2252
MEM 310.343750 1783103711.3302
MEM 310.937500 1783103711.4352
MEM 311.531250 1783103711.5402
MEM 312.140625 1783103711.6453
MEM 313.140625 1783103711.7504
MEM 313.703125 1783103711.8555
MEM 314.390625 1783103711.9606
MEM 315.187500 1783103712.0656
MEM 316.093750 1783103712.1672
MEM 316.796875 1783103712.2680
MEM 317.234375 1783103712.3730
MEM 317.953125 1783103712.4781
MEM 318.484375 1783103712.5831
MEM 319.421875 1783103712.6881
MEM 319.906250 1783103712.7931
MEM 320.890625 1783103712.8982
MEM 321.578125 1783103713.0032
MEM 322.531250 1783103713.1082
MEM 323.437500 1783103713.2132
MEM 324.046875 1783103713.3183
MEM 324.515625 1783103713.4233
MEM 325.328125 1783103713.5283
MEM 326.250000 1783103713.6334
MEM 326.906250 1783103713.7385
MEM 327.078125 1783103713.8435
MEM 327.750000 1783103713.9485
MEM 328.421875 1783103714.0536
MEM 329.109375 1783103714.1586
MEM 329.843750 1783103714.2637
MEM 330.656250 1783103714.3688
MEM 330.875000 1783103714.4738
MEM 331.359375 1783103714.5789
MEM 332.062500 1783103714.6839
MEM 332.828125 1783103714.7889
MEM 333.500000 1783103714.8940
MEM 333.421875 1783103714.9991
MEM 334.015625 1783103715.1042
MEM 334.437500 1783103715.2092
MEM 327.843750 1783103715.3143
MEM 328.500000 1783103715.4193
MEM 329.078125 1783103715.5244
MEM 329.515625 1783103715.6294
MEM 316.734375 1783103715.7345
MEM 317.281250 1783103715.8396
MEM 317.703125 1783103715.9447
MEM 293.734375 1783103716.0498
MEM 293.984375 1783103716.1548
MEM 294.781250 1783103716.2599
MEM 296.421875 1783103716.3650
MEM 297.265625 1783103716.4700
MEM 298.046875 1783103716.5750
MEM 298.593750 1783103716.6801
MEM 299.390625 1783103716.7851
MEM 316.046875 1783103716.8902
MEM 316.609375 1783103716.9953
MEM 317.234375 1783103717.1003
MEM 317.859375 1783103717.2053
MEM 318.093750 1783103717.3104
MEM 318.171875 1783103717.4154
MEM 318.734375 1783103717.5204
MEM 319.281250 1783103717.6257
MEM 320.015625 1783103717.7308
MEM 320.640625 1783103717.8310
MEM 321.031250 1783103717.9361
MEM 321.250000 1783103718.0411
MEM 321.640625 1783103718.1461
MEM 322.062500 1783103718.2512
MEM 322.328125 1783103718.3562
MEM 322.843750 1783103718.4612
MEM 323.390625 1783103718.5662
MEM 324.171875 1783103718.6713
MEM 324.828125 1783103718.7763
MEM 325.453125 1783103718.8813
MEM 326.156250 1783103718.9864
MEM 326.843750 1783103719.0914
MEM 327.265625 1783103719.1965
MEM 327.875000 1783103719.3015
MEM 328.515625 1783103719.4065
MEM 329.125000 1783103719.5115
MEM 329.562500 1783103719.6166
MEM 330.250000 1783103719.7216
MEM 330.875000 1783103719.8266
MEM 331.453125 1783103719.9316
MEM 332.187500 1783103720.0368
MEM 331.593750 1783103720.1418
MEM 329.656250 1783103720.2468
MEM 325.890625 1783103720.3519
MEM 326.312500 1783103720.4569
MEM 326.921875 1783103720.5619
MEM 327.562500 1783103720.6669
MEM 328.218750 1783103720.7720
MEM 328.875000 1783103720.8770
MEM 329.500000 1783103720.9820
MEM 330.000000 1783103721.0871
MEM 330.437500 1783103721.1921
MEM 330.937500 1783103721.2971
MEM 331.406250 1783103721.4021
MEM 331.906250 1783103721.5071
MEM 332.281250 1783103721.6122
MEM 332.687500 1783103721.7172
MEM 333.171875 1783103721.8223
MEM 333.343750 1783103721.9274
MEM 333.781250 1783103722.0325
MEM 334.281250 1783103722.1376
MEM 334.750000 1783103722.2427
MEM 335.359375 1783103722.3478
MEM 336.000000 1783103722.4490
MEM 336.468750 1783103722.5540
MEM 336.984375 1783103722.6590
MEM 337.437500 1783103722.7641
MEM 338.093750 1783103722.8691
MEM 338.609375 1783103722.9742
MEM 339.062500 1783103723.0793
MEM 339.390625 1783103723.1843
MEM 339.859375 1783103723.2893
MEM 340.250000 1783103723.3944
MEM 340.812500 1783103723.4994
MEM 341.234375 1783103723.6044
MEM 341.734375 1783103723.7095
MEM 342.031250 1783103723.8146
MEM 342.421875 1783103723.9196
MEM 342.796875 1783103724.0247
MEM 343.156250 1783103724.1297
MEM 343.500000 1783103724.2320
MEM 313.968750 1783103724.3371
MEM 294.968750 1783103724.4421
MEM 295.468750 1783103724.5472
MEM 295.640625 1783103724.6522
MEM 296.250000 1783103724.7572
MEM 296.531250 1783103724.8622
MEM 296.921875 1783103724.9673
MEM 297.468750 1783103725.0723
MEM 297.906250 1783103725.1774
MEM 295.968750 1783103725.2824
MEM 296.515625 1783103725.3874
MEM 297.093750 1783103725.4925
MEM 297.718750 1783103725.5975
MEM 298.125000 1783103725.7025
MEM 298.250000 1783103725.8075
MEM 298.484375 1783103725.9126
MEM 262.953125 1783103726.0178
MEM 263.218750 1783103726.1229
MEM 263.781250 1783103726.2280
MEM 264.046875 1783103726.3330
MEM 264.500000 1783103726.4380
MEM 264.843750 1783103726.5431
MEM 264.953125 1783103726.6481
MEM 265.093750 1783103726.7532
MEM 265.390625 1783103726.8582
MEM 265.750000 1783103726.9632
MEM 266.109375 1783103727.0683
MEM 266.671875 1783103727.1733
MEM 266.906250 1783103727.2783
MEM 267.281250 1783103727.3834
MEM 267.703125 1783103727.4884
MEM 268.109375 1783103727.5934
MEM 268.656250 1783103727.6984
MEM 269.125000 1783103727.8035
MEM 269.687500 1783103727.9085
MEM 270.140625 1783103728.0135
MEM 270.484375 1783103728.1186
MEM 271.046875 1783103728.2236
