CMDLINE uvicorn app.main:app
MEM 0.156250 1783146529.5312
MEM 39.468750 1783146529.6364
MEM 54.046875 1783146529.7417
MEM 78.453125 1783146529.8468
MEM 94.515625 1783146529.9520
MEM 110.531250 1783146530.0572
MEM 120.609375 1783146530.1623
MEM 130.937500 1783146530.2675
MEM 144.609375 1783146530.3714
MEM 151.484375 1783146530.4766
MEM 151.515625 1783146530.5818
MEM 151.515625 1783146530.6871
MEM 151.515625 1783146530.7889
MEM 151.515625 1783146530.8903
MEM 151.515625 1783146530.9908
MEM 151.515625 1783146531.0963
MEM 151.515625 1783146531.1985
MEM 151.515625 1783146531.2999
MEM 151.515625 1783146531.4039
MEM 151.515625 1783146531.5093
MEM 151.515625 1783146531.6127
MEM 151.515625 1783146531.7182
MEM 151.515625 1783146531.8235
MEM 151.515625 1783146531.9290
MEM 151.515625 1783146532.0342
MEM 151.515625 1783146532.1354
MEM 151.515625 1783146532.2382
MEM 151.515625 1783146532.3435
MEM 151.515625 1783146532.4490
MEM 151.515625 1783146532.5543
MEM 151.515625 1783146532.6597
MEM 151.515625 1783146532.7652
MEM 151.515625 1783146532.8680
MEM 151.515625 1783146532.9695
MEM 134.828125 1783146533.0750
MEM 134.828125 1783146533.1803
MEM 134.828125 1783146533.2856
MEM 134.828125 1783146533.3861
MEM 134.828125 1783146533.4918
MEM 134.828125 1783146533.5973
MEM 134.828125 1783146533.7028
MEM 134.828125 1783146533.8045
MEM 134.828125 1783146533.9051
MEM 135.312500 1783146534.0086
MEM 135.312500 1783146534.1096
MEM 135.312500 1783146534.2150
MEM 135.312500 1783146534.3197
MEM 135.312500 1783146534.4246
MEM 135.312500 1783146534.5301
MEM 135.312500 1783146534.6345
MEM 135.312500 1783146534.7399
MEM 132.921875 1783146534.8430
MEM 134.765625 1783146534.9484
MEM 134.781250 1783146535.0517
MEM 136.109375 1783146535.1573
MEM 136.109375 1783146535.2624
MEM 136.109375 1783146535.3673
MEM 136.109375 1783146535.4728
MEM 136.109375 1783146535.5762
MEM 136.093750 1783146535.6817
MEM 136.093750 1783146535.7862
MEM 136.093750 1783146535.8887
MEM 136.093750 1783146535.9939
MEM 136.093750 1783146536.0994
MEM 136.093750 1783146536.2003
MEM 136.093750 1783146536.3058
MEM 136.093750 1783146536.4112
MEM 136.093750 1783146536.5160
MEM 136.093750 1783146536.6201
MEM 136.093750 1783146536.7258
MEM 136.093750 1783146536.8271
MEM 136.093750 1783146536.9296
MEM 136.093750 1783146537.0335
MEM 136.093750 1783146537.1374
MEM 136.093750 1783146537.2430
MEM 136.093750 1783146537.3435
