CMDLINE uvicorn app.main:app
MEM 0.156250 1783105715.9299
MEM 36.109375 1783105716.0355
MEM 40.171875 1783105716.1406
MEM 41.796875 1783105716.2457
MEM 43.953125 1783105716.3507
MEM 47.328125 1783105716.4558
MEM 48.187500 1783105716.5608
MEM 48.812500 1783105716.6658
MEM 49.093750 1783105716.7709
MEM 49.765625 1783105716.8759
MEM 50.484375 1783105716.9811
MEM 52.921875 1783105717.0862
MEM 54.218750 1783105717.1913
MEM 56.421875 1783105717.2964
MEM 57.687500 1783105717.4015
MEM 59.140625 1783105717.5066
MEM 59.671875 1783105717.6116
MEM 61.203125 1783105717.7166
MEM 62.406250 1783105717.8217
MEM 63.140625 1783105717.9267
MEM 65.828125 1783105718.0318
MEM 67.859375 1783105718.1368
MEM 70.421875 1783105718.2419
MEM 70.765625 1783105718.3469
MEM 71.015625 1783105718.4519
MEM 71.437500 1783105718.5569
MEM 71.515625 1783105718.6620
MEM 71.765625 1783105718.7670
MEM 71.796875 1783105718.8720
MEM 72.859375 1783105718.9771
MEM 73.609375 1783105719.0821
MEM 74.687500 1783105719.1872
MEM 75.015625 1783105719.2922
MEM 75.484375 1783105719.3973
MEM 77.875000 1783105719.5023
MEM 78.765625 1783105719.6073
MEM 79.000000 1783105719.7123
MEM 80.593750 1783105719.8174
MEM 83.281250 1783105719.9224
MEM 84.250000 1783105720.0275
MEM 86.531250 1783105720.1326
MEM 88.750000 1783105720.2376
MEM 91.156250 1783105720.3427
MEM 93.828125 1783105720.4477
MEM 96.890625 1783105720.5528
MEM 99.421875 1783105720.6578
MEM 101.890625 1783105720.7628
MEM 104.890625 1783105720.8679
MEM 111.718750 1783105720.9729
MEM 114.531250 1783105721.0780
MEM 117.046875 1783105721.1830
MEM 118.984375 1783105721.2881
MEM 121.312500 1783105721.3932
MEM 123.046875 1783105721.4984
MEM 125.156250 1783105721.6035
MEM 127.171875 1783105721.7086
MEM 133.781250 1783105721.8138
MEM 136.640625 1783105721.9188
MEM 139.125000 1783105722.0239
MEM 142.109375 1783105722.1289
MEM 144.515625 1783105722.2340
MEM 146.078125 1783105722.3390
MEM 148.687500 1783105722.4440
MEM 150.921875 1783105722.5491
MEM 152.921875 1783105722.6541
MEM 154.843750 1783105722.7591
MEM 157.171875 1783105722.8642
MEM 159.468750 1783105722.9693
MEM 161.296875 1783105723.0744
MEM 163.546875 1783105723.1794
MEM 166.500000 1783105723.2845
MEM 169.343750 1783105723.3896
MEM 171.343750 1783105723.4946
MEM 173.187500 1783105723.5997
MEM 183.343750 1783105723.7048
MEM 184.859375 1783105723.8099
MEM 186.468750 1783105723.9148
MEM 187.687500 1783105724.0199
MEM 189.515625 1783105724.1250
MEM 191.437500 1783105724.2262
MEM 194.109375 1783105724.3313
MEM 197.109375 1783105724.4363
MEM 200.046875 1783105724.5414
MEM 202.750000 1783105724.6464
MEM 206.187500 1783105724.7515
MEM 208.531250 1783105724.8565
MEM 206.343750 1783105724.9589
MEM 209.171875 1783105725.0633
MEM 211.812500 1783105725.1684
MEM 213.859375 1783105725.2734
MEM 223.906250 1783105725.3785
MEM 225.546875 1783105725.4836
