CMDLINE uvicorn app.main:app
MEM 0.156250 1783100329.4044
MEM 36.343750 1783100329.5096
MEM 40.578125 1783100329.6146
MEM 42.156250 1783100329.7198
MEM 44.375000 1783100329.8249
MEM 47.687500 1783100329.9299
MEM 48.546875 1783100330.0350
MEM 49.156250 1783100330.1401
MEM 49.437500 1783100330.2453
MEM 50.000000 1783100330.3504
MEM 50.734375 1783100330.4555
MEM 53.218750 1783100330.5605
MEM 54.421875 1783100330.6656
MEM 56.734375 1783100330.7707
MEM 57.984375 1783100330.8757
MEM 59.406250 1783100330.9808
MEM 59.984375 1783100331.0859
MEM 61.203125 1783100331.1909
MEM 62.812500 1783100331.2959
MEM 63.296875 1783100331.4009
MEM 65.859375 1783100331.5060
MEM 68.312500 1783100331.6111
MEM 70.859375 1783100331.7162
MEM 71.062500 1783100331.8182
MEM 71.515625 1783100331.9233
MEM 71.640625 1783100332.0283
MEM 72.015625 1783100332.1334
MEM 72.234375 1783100332.2385
MEM 72.296875 1783100332.3435
MEM 73.281250 1783100332.4476
MEM 73.515625 1783100332.5526
MEM 74.921875 1783100332.6576
MEM 75.484375 1783100332.7627
MEM 75.921875 1783100332.8677
MEM 77.625000 1783100332.9728
MEM 79.218750 1783100333.0762
MEM 79.421875 1783100333.1812
MEM 79.703125 1783100333.2862
MEM 83.312500 1783100333.3913
MEM 84.015625 1783100333.4963
MEM 85.437500 1783100333.6014
MEM 87.921875 1783100333.7064
MEM 90.125000 1783100333.8115
MEM 92.078125 1783100333.9166
MEM 94.718750 1783100334.0217
MEM 97.781250 1783100334.1267
MEM 100.265625 1783100334.2318
MEM 102.671875 1783100334.3369
MEM 105.546875 1783100334.4420
MEM 112.406250 1783100334.5471
MEM 114.015625 1783100334.6521
MEM 116.812500 1783100334.7573
MEM 118.562500 1783100334.8623
MEM 118.015625 1783100334.9674
MEM 119.562500 1783100335.0724
MEM 121.703125 1783100335.1775
MEM 123.984375 1783100335.2826
MEM 130.343750 1783100335.3878
MEM 133.109375 1783100335.4929
MEM 135.609375 1783100335.5979
MEM 138.671875 1783100335.7030
MEM 141.062500 1783100335.8080
MEM 140.421875 1783100335.9131
MEM 142.531250 1783100336.0182
MEM 139.234375 1783100336.1234
MEM 126.828125 1783100336.2277
MEM 128.421875 1783100336.3328
MEM 128.703125 1783100336.4379
MEM 131.234375 1783100336.5431
MEM 133.515625 1783100336.6482
MEM 134.921875 1783100336.7533
MEM 137.453125 1783100336.8584
MEM 140.359375 1783100336.9636
MEM 142.937500 1783100337.0687
MEM 145.031250 1783100337.1738
MEM 153.609375 1783100337.2789
MEM 149.484375 1783100337.3841
MEM 151.265625 1783100337.4892
MEM 153.062500 1783100337.5942
MEM 154.218750 1783100337.6992
MEM 156.031250 1783100337.8043
MEM 157.734375 1783100337.9093
MEM 154.875000 1783100338.0144
MEM 156.703125 1783100338.1194
MEM 156.671875 1783100338.2245
MEM 155.390625 1783100338.3250
MEM 150.437500 1783100338.4302
MEM 152.296875 1783100338.5353
MEM 151.781250 1783100338.6405
MEM 146.546875 1783100338.7447
MEM 141.546875 1783100338.8496
MEM 139.390625 1783100338.9559
MEM 134.109375 1783100339.0590
MEM 132.046875 1783100339.1657
MEM 131.671875 1783100339.2709
MEM 132.484375 1783100339.3762
MEM 134.375000 1783100339.4813
MEM 136.562500 1783100339.5865
MEM 138.171875 1783100339.6916
MEM 149.031250 1783100339.7967
MEM 150.359375 1783100339.9018
MEM 152.562500 1783100340.0070
MEM 154.671875 1783100340.1121
MEM 156.890625 1783100340.2172
MEM 158.843750 1783100340.3223
MEM 160.781250 1783100340.4274
MEM 162.562500 1783100340.5325
MEM 164.390625 1783100340.6375
MEM 170.375000 1783100340.7426
MEM 172.828125 1783100340.8477
MEM 176.859375 1783100340.9505
MEM 179.437500 1783100341.0557
MEM 181.984375 1783100341.1608
MEM 183.718750 1783100341.2658
MEM 185.718750 1783100341.3709
MEM 188.828125 1783100341.4759
MEM 190.734375 1783100341.5810
MEM 193.500000 1783100341.6861
MEM 196.671875 1783100341.7901
MEM 198.109375 1783100341.8953
MEM 199.515625 1783100342.0004
MEM 202.250000 1783100342.1055
MEM 204.156250 1783100342.2105
MEM 205.734375 1783100342.3155
