CMDLINE uvicorn app.main:app
MEM 0.171875 1783102863.1478
MEM 35.796875 1783102863.2530
MEM 39.906250 1783102863.3581
MEM 41.734375 1783102863.4632
MEM 43.843750 1783102863.5682
MEM 47.000000 1783102863.6734
MEM 48.093750 1783102863.7784
MEM 48.750000 1783102863.8834
MEM 49.031250 1783102863.9886
MEM 49.578125 1783102864.0936
MEM 50.218750 1783102864.1984
MEM 52.843750 1783102864.3036
MEM 53.859375 1783102864.4086
MEM 56.312500 1783102864.5137
MEM 57.546875 1783102864.6187
MEM 59.015625 1783102864.7238
MEM 59.562500 1783102864.8288
MEM 60.765625 1783102864.9338
MEM 62.328125 1783102865.0389
MEM 62.843750 1783102865.1440
MEM 65.234375 1783102865.2491
MEM 59.015625 1783102865.3542
MEM 61.609375 1783102865.4593
MEM 61.812500 1783102865.5644
MEM 62.281250 1783102865.6695
MEM 62.500000 1783102865.7745
MEM 62.781250 1783102865.8795
MEM 63.015625 1783102865.9846
MEM 63.046875 1783102866.0896
MEM 64.109375 1783102866.1946
MEM 64.421875 1783102866.2997
MEM 65.796875 1783102866.4047
MEM 66.265625 1783102866.5097
MEM 66.750000 1783102866.6148
MEM 68.765625 1783102866.7198
MEM 70.078125 1783102866.8248
MEM 70.281250 1783102866.9299
MEM 71.406250 1783102867.0349
MEM 74.234375 1783102867.1399
MEM 75.140625 1783102867.2449
MEM 77.265625 1783102867.3500
MEM 79.734375 1783102867.4550
MEM 83.140625 1783102867.5601
MEM 85.171875 1783102867.6652
MEM 88.453125 1783102867.7702
MEM 91.234375 1783102867.8753
MEM 93.468750 1783102867.9803
MEM 96.468750 1783102868.0853
MEM 103.296875 1783102868.1904
MEM 106.203125 1783102868.2955
MEM 109.078125 1783102868.4006
MEM 110.812500 1783102868.5058
MEM 112.937500 1783102868.6109
MEM 114.718750 1783102868.7159
MEM 117.312500 1783102868.8209
MEM 119.312500 1783102868.9260
MEM 123.312500 1783102869.0311
MEM 130.171875 1783102869.1362
MEM 132.781250 1783102869.2412
MEM 135.640625 1783102869.3463
MEM 138.093750 1783102869.4513
MEM 140.156250 1783102869.5564
MEM 142.203125 1783102869.6614
MEM 144.562500 1783102869.7665
MEM 147.093750 1783102869.8716
MEM 148.968750 1783102869.9768
MEM 143.406250 1783102870.0820
MEM 145.937500 1783102870.1871
MEM 148.234375 1783102870.2877
MEM 147.531250 1783102870.3929
MEM 150.406250 1783102870.4979
MEM 153.187500 1783102870.5992
MEM 155.750000 1783102870.7043
MEM 157.875000 1783102870.8093
MEM 167.500000 1783102870.9144
MEM 131.078125 1783102871.0195
MEM 132.906250 1783102871.1245
MEM 134.218750 1783102871.2295
MEM 135.781250 1783102871.3345
MEM 137.687500 1783102871.4396
MEM 140.218750 1783102871.5446
MEM 143.140625 1783102871.6496
MEM 146.078125 1783102871.7547
MEM 148.906250 1783102871.8558
MEM 151.781250 1783102871.9610
MEM 154.921875 1783102872.0660
MEM 156.984375 1783102872.1711
MEM 159.484375 1783102872.2762
MEM 162.171875 1783102872.3812
MEM 164.578125 1783102872.4864
MEM 174.812500 1783102872.5915
MEM 176.234375 1783102872.6966
MEM 178.390625 1783102872.8016
MEM 180.390625 1783102872.9067
MEM 182.593750 1783102873.0117
MEM 185.234375 1783102873.1168
MEM 187.250000 1783102873.2219
MEM 189.109375 1783102873.3269
MEM 190.812500 1783102873.4319
MEM 192.750000 1783102873.5370
MEM 195.406250 1783102873.6420
MEM 199.484375 1783102873.7471
MEM 201.859375 1783102873.8521
MEM 204.593750 1783102873.9572
MEM 206.000000 1783102874.0623
MEM 208.078125 1783102874.1674
MEM 211.171875 1783102874.2725
MEM 213.187500 1783102874.3775
MEM 215.953125 1783102874.4825
MEM 219.578125 1783102874.5876
MEM 220.968750 1783102874.6927
MEM 222.578125 1783102874.7977
MEM 225.046875 1783102874.9028
MEM 226.828125 1783102875.0079
MEM 228.296875 1783102875.1130
MEM 229.343750 1783102875.2180
MEM 230.546875 1783102875.3232
MEM 231.390625 1783102875.4283
MEM 232.156250 1783102875.5334
MEM 234.015625 1783102875.6385
MEM 235.593750 1783102875.7436
MEM 236.812500 1783102875.8486
MEM 238.343750 1783102875.9536
MEM 239.765625 1783102876.0587
MEM 240.984375 1783102876.1637
MEM 242.484375 1783102876.2687
MEM 243.375000 1783102876.3738
MEM 244.656250 1783102876.4788
MEM 246.015625 1783102876.5840
MEM 247.250000 1783102876.6891
MEM 248.000000 1783102876.7942
MEM 187.187500 1783102876.8994
MEM 188.187500 1783102877.0043
MEM 188.453125 1783102877.1093
MEM 189.125000 1783102877.2144
MEM 190.187500 1783102877.3194
MEM 191.109375 1783102877.4244
MEM 192.078125 1783102877.5294
MEM 193.140625 1783102877.6345
MEM 193.921875 1783102877.7395
MEM 194.796875 1783102877.8446
MEM 195.843750 1783102877.9498
MEM 196.609375 1783102878.0549
MEM 197.390625 1783102878.1601
MEM 198.156250 1783102878.2652
MEM 199.109375 1783102878.3702
MEM 199.640625 1783102878.4752
MEM 200.265625 1783102878.5804
MEM 200.781250 1783102878.6855
MEM 201.812500 1783102878.7906
MEM 202.437500 1783102878.8957
MEM 203.078125 1783102879.0006
MEM 203.906250 1783102879.1025
MEM 201.750000 1783102879.2078
MEM 202.484375 1783102879.3080
MEM 197.718750 1783102879.4131
MEM 196.203125 1783102879.5182
MEM 196.718750 1783102879.6216
MEM 197.578125 1783102879.7267
MEM 198.265625 1783102879.8317
MEM 198.984375 1783102879.9367
MEM 199.750000 1783102880.0419
MEM 200.578125 1783102880.1470
MEM 201.562500 1783102880.2520
MEM 202.375000 1783102880.3571
MEM 202.703125 1783102880.4622
MEM 198.875000 1783102880.5672
MEM 196.062500 1783102880.6724
MEM 197.078125 1783102880.7774
MEM 197.421875 1783102880.8826
MEM 197.828125 1783102880.9878
MEM 198.328125 1783102881.0929
MEM 199.109375 1783102881.1980
MEM 199.750000 1783102881.3031
MEM 200.515625 1783102881.4048
MEM 201.296875 1783102881.5099
MEM 201.484375 1783102881.6150
MEM 202.250000 1783102881.7200
MEM 202.750000 1783102881.8250
MEM 200.640625 1783102881.9301
MEM 201.359375 1783102882.0352
MEM 201.390625 1783102882.1402
MEM 201.968750 1783102882.2453
MEM 202.468750 1783102882.3505
MEM 203.296875 1783102882.4556
MEM 203.875000 1783102882.5606
MEM 205.296875 1783102882.6657
MEM 205.687500 1783102882.7708
MEM 206.453125 1783102882.8758
MEM 206.921875 1783102882.9808
MEM 207.468750 1783102883.0859
MEM 207.921875 1783102883.1910
MEM 200.109375 1783102883.2961
MEM 200.781250 1783102883.4012
MEM 207.406250 1783102883.5064
MEM 208.187500 1783102883.6114
MEM 200.625000 1783102883.7165
MEM 201.328125 1783102883.8217
MEM 201.828125 1783102883.9267
MEM 215.484375 1783102884.0276
MEM 216.062500 1783102884.1327
MEM 216.671875 1783102884.2377
MEM 217.328125 1783102884.3428
MEM 217.531250 1783102884.4478
MEM 217.625000 1783102884.5529
MEM 218.156250 1783102884.6580
MEM 218.687500 1783102884.7631
MEM 219.500000 1783102884.8682
MEM 220.125000 1783102884.9733
MEM 220.546875 1783102885.0767
MEM 220.703125 1783102885.1817
MEM 221.093750 1783102885.2867
MEM 221.562500 1783102885.3918
MEM 221.687500 1783102885.4969
MEM 222.265625 1783102885.6020
MEM 222.687500 1783102885.7072
MEM 223.421875 1783102885.8123
MEM 224.187500 1783102885.9174
MEM 224.796875 1783102886.0225
MEM 225.500000 1783102886.1275
MEM 226.203125 1783102886.2326
MEM 226.687500 1783102886.3377
MEM 227.218750 1783102886.4427
MEM 227.765625 1783102886.5478
MEM 228.359375 1783102886.6528
MEM 228.937500 1783102886.7578
MEM 229.437500 1783102886.8630
MEM 230.156250 1783102886.9680
MEM 230.812500 1783102887.0730
MEM 231.406250 1783102887.1781
MEM 231.843750 1783102887.2831
MEM 232.453125 1783102887.3881
MEM 232.984375 1783102887.4931
MEM 233.406250 1783102887.5983
MEM 233.937500 1783102887.7034
MEM 226.140625 1783102887.8051
MEM 226.781250 1783102887.9102
MEM 227.390625 1783102888.0153
MEM 228.046875 1783102888.1204
MEM 228.578125 1783102888.2218
MEM 228.953125 1783102888.3250
MEM 229.250000 1783102888.4262
MEM 229.656250 1783102888.5313
MEM 230.156250 1783102888.6364
MEM 230.671875 1783102888.7416
MEM 229.343750 1783102888.8468
MEM 229.812500 1783102888.9520
MEM 223.953125 1783102889.0571
MEM 224.265625 1783102889.1623
MEM 224.484375 1783102889.2674
MEM 225.031250 1783102889.3726
MEM 225.468750 1783102889.4777
MEM 225.984375 1783102889.5828
MEM 225.437500 1783102889.6880
MEM 226.015625 1783102889.7924
MEM 226.515625 1783102889.8978
MEM 227.078125 1783102890.0029
MEM 227.531250 1783102890.1080
MEM 228.125000 1783102890.2131
MEM 228.671875 1783102890.3182
MEM 229.109375 1783102890.4233
MEM 229.390625 1783102890.5284
MEM 229.906250 1783102890.6336
MEM 230.296875 1783102890.7387
MEM 230.687500 1783102890.8404
MEM 231.156250 1783102890.9456
MEM 231.687500 1783102891.0507
MEM 231.890625 1783102891.1559
MEM 232.312500 1783102891.2609
MEM 232.812500 1783102891.3660
MEM 233.171875 1783102891.4710
MEM 233.546875 1783102891.5761
MEM 233.906250 1783102891.6811
MEM 234.343750 1783102891.7861
MEM 234.812500 1783102891.8869
MEM 235.046875 1783102891.9921
MEM 235.437500 1783102892.0957
MEM 235.968750 1783102892.2007
MEM 236.093750 1783102892.3059
MEM 236.687500 1783102892.4111
MEM 237.343750 1783102892.5161
MEM 237.593750 1783102892.6212
MEM 237.937500 1783102892.7221
MEM 238.515625 1783102892.8271
MEM 239.093750 1783102892.9302
MEM 239.609375 1783102893.0353
MEM 239.984375 1783102893.1404
MEM 240.093750 1783102893.2455
MEM 240.421875 1783102893.3507
MEM 240.984375 1783102893.4558
MEM 241.234375 1783102893.5610
MEM 241.781250 1783102893.6661
MEM 242.078125 1783102893.7712
MEM 242.500000 1783102893.8763
MEM 242.843750 1783102893.9777
MEM 242.937500 1783102894.0779
MEM 243.031250 1783102894.1830
MEM 243.125000 1783102894.2882
MEM 243.593750 1783102894.3933
MEM 243.796875 1783102894.4984
MEM 230.859375 1783102894.6013
MEM 217.140625 1783102894.7052
MEM 217.281250 1783102894.8103
MEM 217.671875 1783102894.9154
MEM 214.875000 1783102895.0206
MEM 215.390625 1783102895.1258
MEM 215.890625 1783102895.2309
MEM 203.718750 1783102895.3360
MEM 190.187500 1783102895.4411
MEM 190.578125 1783102895.5463
MEM 191.046875 1783102895.6513
MEM 191.578125 1783102895.7565
MEM 192.000000 1783102895.8616
MEM 191.171875 1783102895.9668
MEM 191.640625 1783102896.0720
MEM 192.093750 1783102896.1772
MEM 192.609375 1783102896.2823
MEM 192.015625 1783102896.3875
MEM 192.343750 1783102896.4926
MEM 192.734375 1783102896.5978
MEM 193.203125 1783102896.7028
MEM 193.578125 1783102896.8080
MEM 193.890625 1783102896.9117
MEM 194.343750 1783102897.0125
MEM 194.562500 1783102897.1177
MEM 194.937500 1783102897.2227
MEM 197.531250 1783102897.3279
MEM 204.484375 1783102897.4331
MEM 222.234375 1783102897.5382
MEM 222.640625 1783102897.6432
MEM 225.187500 1783102897.7483
MEM 227.375000 1783102897.8534
MEM 229.359375 1783102897.9585
MEM 230.578125 1783102898.0637
MEM 231.890625 1783102898.1690
MEM 209.781250 1783102898.2742
MEM 212.515625 1783102898.3795
MEM 213.390625 1783102898.4798
MEM 214.093750 1783102898.5829
MEM 213.171875 1783102898.6865
MEM 208.812500 1783102898.7910
MEM 190.890625 1783102898.8962
MEM 190.796875 1783102899.0000
MEM 190.796875 1783102899.1052
MEM 190.796875 1783102899.2104
MEM 190.406250 1783102899.3155
MEM 189.265625 1783102899.4207
MEM 185.000000 1783102899.5248
MEM 184.953125 1783102899.6299
MEM 184.953125 1783102899.7352
MEM 187.000000 1783102899.8355
MEM 190.125000 1783102899.9370
MEM 184.640625 1783102900.0388
MEM 181.781250 1783102900.1440
MEM 184.859375 1783102900.2490
MEM 192.937500 1783102900.3542
MEM 195.265625 1783102900.4545
MEM 200.859375 1783102900.5597
MEM 201.078125 1783102900.6649
MEM 202.890625 1783102900.7700
MEM 196.000000 1783102900.8752
MEM 197.828125 1783102900.9803
MEM 200.000000 1783102901.0854
MEM 200.437500 1783102901.1905
MEM 201.312500 1783102901.2957
MEM 202.093750 1783102901.4008
MEM 203.703125 1783102901.5060
MEM 205.328125 1783102901.6112
MEM 210.062500 1783102901.7164
MEM 210.078125 1783102901.8216
MEM 208.015625 1783102901.9259
MEM 216.453125 1783102902.0311
MEM 209.203125 1783102902.1340
MEM 209.203125 1783102902.2390
MEM 209.203125 1783102902.3401
MEM 209.203125 1783102902.4431
MEM 209.203125 1783102902.5435
MEM 209.203125 1783102902.6472
MEM 209.203125 1783102902.7526
MEM 209.203125 1783102902.8579
MEM 209.203125 1783102902.9629
MEM 208.343750 1783102903.0683
MEM 206.734375 1783102903.1738
MEM 206.734375 1783102903.2791
MEM 206.734375 1783102903.3845
MEM 206.734375 1783102903.4873
MEM 206.734375 1783102903.5926
MEM 206.734375 1783102903.6979
MEM 206.734375 1783102903.8031
MEM 206.734375 1783102903.9055
MEM 206.734375 1783102904.0069
MEM 206.734375 1783102904.1125
MEM 206.734375 1783102904.2166
MEM 206.734375 1783102904.3221
MEM 206.734375 1783102904.4261
MEM 206.734375 1783102904.5269
MEM 206.734375 1783102904.6320
MEM 206.734375 1783102904.7338
MEM 206.734375 1783102904.8347
MEM 206.734375 1783102904.9400
MEM 206.734375 1783102905.0443
MEM 206.734375 1783102905.1496
MEM 206.734375 1783102905.2512
MEM 206.734375 1783102905.3567
MEM 210.468750 1783102905.4606
MEM 211.515625 1783102905.5641
MEM 215.281250 1783102905.6658
MEM 216.250000 1783102905.7709
MEM 217.187500 1783102905.8761
MEM 221.625000 1783102905.9813
MEM 222.968750 1783102906.0864
MEM 227.375000 1783102906.1885
MEM 229.593750 1783102906.2892
MEM 230.546875 1783102906.3943
MEM 231.015625 1783102906.4995
MEM 231.015625 1783102906.6043
MEM 231.015625 1783102906.7094
MEM 231.015625 1783102906.8144
MEM 231.015625 1783102906.9195
MEM 231.015625 1783102907.0246
MEM 231.015625 1783102907.1299
MEM 231.015625 1783102907.2349
MEM 231.015625 1783102907.3400
MEM 231.156250 1783102907.4450
MEM 231.156250 1783102907.5501
MEM 231.156250 1783102907.6551
MEM 232.031250 1783102907.7602
MEM 232.031250 1783102907.8653
MEM 232.125000 1783102907.9703
MEM 233.625000 1783102908.0754
MEM 234.796875 1783102908.1806
MEM 235.781250 1783102908.2859
MEM 236.000000 1783102908.3909
MEM 236.968750 1783102908.4960
MEM 237.859375 1783102908.6012
MEM 237.890625 1783102908.7063
MEM 238.718750 1783102908.8116
MEM 238.937500 1783102908.9167
MEM 239.734375 1783102909.0220
MEM 239.781250 1783102909.1246
MEM 239.796875 1783102909.2299
MEM 239.796875 1783102909.3354
MEM 239.796875 1783102909.4362
MEM 239.796875 1783102909.5417
MEM 239.796875 1783102909.6427
MEM 239.796875 1783102909.7433
MEM 239.796875 1783102909.8459
MEM 239.796875 1783102909.9514
MEM 239.796875 1783102910.0568
MEM 239.796875 1783102910.1608
MEM 239.796875 1783102910.2659
