CMDLINE uvicorn app.main:app
MEM 0.125000 1783103526.6009
MEM 36.437500 1783103526.7060
MEM 40.640625 1783103526.8111
MEM 42.031250 1783103526.9161
MEM 44.109375 1783103527.0212
MEM 47.656250 1783103527.1262
MEM 48.296875 1783103527.2313
MEM 48.828125 1783103527.3363
MEM 49.171875 1783103527.4414
MEM 49.796875 1783103527.5464
MEM 51.921875 1783103527.6514
MEM 53.062500 1783103527.7565
MEM 54.859375 1783103527.8615
MEM 56.546875 1783103527.9666
MEM 58.265625 1783103528.0716
MEM 59.250000 1783103528.1767
MEM 59.906250 1783103528.2818
MEM 61.359375 1783103528.3834
MEM 62.562500 1783103528.4884
MEM 63.609375 1783103528.5935
MEM 66.062500 1783103528.6985
MEM 69.906250 1783103528.8035
MEM 70.484375 1783103528.9086
MEM 70.968750 1783103529.0136
MEM 71.078125 1783103529.1187
MEM 71.515625 1783103529.2237
MEM 71.562500 1783103529.3287
MEM 71.796875 1783103529.4338
MEM 71.968750 1783103529.5388
MEM 72.968750 1783103529.6438
MEM 73.937500 1783103529.7489
MEM 74.828125 1783103529.8539
MEM 75.078125 1783103529.9590
MEM 76.281250 1783103530.0641
MEM 78.328125 1783103530.1693
MEM 78.796875 1783103530.2743
MEM 79.031250 1783103530.3795
MEM 80.625000 1783103530.4846
MEM 83.250000 1783103530.5896
MEM 84.171875 1783103530.6946
MEM 86.468750 1783103530.7997
MEM 88.656250 1783103530.9047
MEM 91.062500 1783103531.0098
MEM 93.765625 1783103531.1149
MEM 96.796875 1783103531.2199
MEM 99.312500 1783103531.3249
MEM 101.765625 1783103531.4300
MEM 104.718750 1783103531.5350
MEM 111.562500 1783103531.6401
MEM 114.359375 1783103531.7451
MEM 116.859375 1783103531.8502
MEM 118.671875 1783103531.9553
MEM 121.187500 1783103532.0603
MEM 122.515625 1783103532.1654
MEM 124.640625 1783103532.2705
MEM 126.640625 1783103532.3757
MEM 129.015625 1783103532.4809
MEM 135.890625 1783103532.5860
MEM 138.296875 1783103532.6911
MEM 141.265625 1783103532.7962
MEM 143.703125 1783103532.9012
MEM 145.609375 1783103533.0062
MEM 147.890625 1783103533.1113
MEM 150.140625 1783103533.2163
MEM 152.609375 1783103533.3214
MEM 154.578125 1783103533.4264
MEM 156.046875 1783103533.5315
MEM 158.765625 1783103533.6366
MEM 160.921875 1783103533.7416
MEM 162.640625 1783103533.8466
MEM 165.437500 1783103533.9517
MEM 168.312500 1783103534.0568
MEM 170.531250 1783103534.1621
MEM 172.562500 1783103534.2673
MEM 182.468750 1783103534.3724
MEM 184.171875 1783103534.4774
MEM 186.078125 1783103534.5825
MEM 187.171875 1783103534.6875
MEM 189.031250 1783103534.7925
MEM 190.875000 1783103534.8976
MEM 193.578125 1783103535.0026
MEM 196.484375 1783103535.1077
MEM 199.437500 1783103535.2127
MEM 202.187500 1783103535.3177
MEM 205.500000 1783103535.4228
MEM 207.921875 1783103535.5278
MEM 210.062500 1783103535.6329
MEM 212.796875 1783103535.7380
MEM 215.609375 1783103535.8430
MEM 217.640625 1783103535.9481
MEM 228.046875 1783103536.0531
MEM 229.312500 1783103536.1582
MEM 231.343750 1783103536.2632
MEM 233.578125 1783103536.3683
MEM 235.671875 1783103536.4733
MEM 237.453125 1783103536.5784
MEM 239.625000 1783103536.6835
MEM 241.218750 1783103536.7885
MEM 243.000000 1783103536.8935
MEM 245.015625 1783103536.9986
MEM 247.984375 1783103537.1036
MEM 252.187500 1783103537.2087
MEM 253.828125 1783103537.3138
MEM 256.859375 1783103537.4189
MEM 258.281250 1783103537.5239
MEM 260.921875 1783103537.6290
MEM 263.515625 1783103537.7340
MEM 266.625000 1783103537.8390
MEM 268.296875 1783103537.9441
MEM 271.203125 1783103538.0491
MEM 272.406250 1783103538.1541
MEM 274.843750 1783103538.2592
MEM 276.671875 1783103538.3643
MEM 278.250000 1783103538.4694
MEM 279.859375 1783103538.5744
MEM 281.000000 1783103538.6796
MEM 281.765625 1783103538.7846
MEM 282.468750 1783103538.8896
MEM 284.015625 1783103538.9947
MEM 285.609375 1783103539.0998
MEM 287.062500 1783103539.2048
MEM 288.781250 1783103539.3098
MEM 289.859375 1783103539.4149
MEM 291.406250 1783103539.5199
MEM 292.843750 1783103539.6250
MEM 293.781250 1783103539.7300
MEM 294.984375 1783103539.8350
MEM 296.375000 1783103539.9401
MEM 297.609375 1783103540.0452
MEM 298.640625 1783103540.1502
MEM 299.515625 1783103540.2553
MEM 300.656250 1783103540.3603
MEM 300.875000 1783103540.4653
MEM 301.453125 1783103540.5703
MEM 302.484375 1783103540.6755
MEM 303.421875 1783103540.7805
MEM 304.359375 1783103540.8855
MEM 305.375000 1783103540.9906
MEM 306.265625 1783103541.0956
MEM 307.187500 1783103541.2006
MEM 308.265625 1783103541.3056
MEM 309.015625 1783103541.4107
MEM 309.875000 1783103541.5111
MEM 310.656250 1783103541.6162
MEM 311.578125 1783103541.7212
MEM 312.203125 1783103541.8262
MEM 312.750000 1783103541.9312
MEM 313.281250 1783103542.0363
MEM 314.312500 1783103542.1382
MEM 314.812500 1783103542.2433
MEM 315.593750 1783103542.3483
MEM 316.390625 1783103542.4534
MEM 317.406250 1783103542.5575
MEM 318.015625 1783103542.6614
MEM 318.296875 1783103542.7642
MEM 319.203125 1783103542.8693
MEM 319.687500 1783103542.9743
MEM 320.578125 1783103543.0793
MEM 321.140625 1783103543.1844
MEM 322.062500 1783103543.2894
MEM 322.718750 1783103543.3944
MEM 323.671875 1783103543.4995
MEM 324.578125 1783103543.6045
MEM 325.234375 1783103543.7095
MEM 325.671875 1783103543.8146
MEM 326.500000 1783103543.9196
MEM 327.390625 1783103544.0246
MEM 328.078125 1783103544.1297
MEM 325.921875 1783103544.2319
MEM 326.562500 1783103544.3370
MEM 327.203125 1783103544.4420
MEM 327.875000 1783103544.5470
MEM 328.593750 1783103544.6520
MEM 329.421875 1783103544.7571
MEM 329.734375 1783103544.8622
MEM 330.203125 1783103544.9652
MEM 323.125000 1783103545.0703
MEM 323.906250 1783103545.1753
