CMDLINE uvicorn app.main:app
MEM 0.125000 1783103295.8225
MEM 36.531250 1783103295.9277
MEM 40.703125 1783103296.0328
MEM 42.125000 1783103296.1378
MEM 44.187500 1783103296.2429
MEM 47.703125 1783103296.3479
MEM 48.421875 1783103296.4530
MEM 48.937500 1783103296.5580
MEM 49.265625 1783103296.6630
MEM 49.921875 1783103296.7681
MEM 50.953125 1783103296.8731
MEM 53.156250 1783103296.9782
MEM 54.875000 1783103297.0832
MEM 56.671875 1783103297.1882
MEM 58.171875 1783103297.2933
MEM 59.359375 1783103297.3984
MEM 60.015625 1783103297.5034
MEM 61.515625 1783103297.6085
MEM 62.734375 1783103297.7135
MEM 63.781250 1783103297.8185
MEM 66.250000 1783103297.9238
MEM 70.093750 1783103298.0290
MEM 70.671875 1783103298.1341
MEM 71.000000 1783103298.2392
MEM 71.265625 1783103298.3442
MEM 71.671875 1783103298.4492
MEM 71.750000 1783103298.5543
MEM 72.015625 1783103298.6593
MEM 72.046875 1783103298.7643
MEM 73.093750 1783103298.8694
MEM 73.828125 1783103298.9744
MEM 74.937500 1783103299.0794
MEM 75.234375 1783103299.1845
MEM 75.734375 1783103299.2895
MEM 78.078125 1783103299.3945
MEM 78.984375 1783103299.4995
MEM 79.187500 1783103299.6046
MEM 80.828125 1783103299.7096
MEM 83.437500 1783103299.8146
MEM 84.437500 1783103299.9197
MEM 86.609375 1783103300.0248
MEM 88.765625 1783103300.1298
MEM 91.234375 1783103300.2349
MEM 93.796875 1783103300.3399
MEM 96.921875 1783103300.4450
MEM 99.468750 1783103300.5500
MEM 101.859375 1783103300.6550
MEM 104.765625 1783103300.7601
MEM 111.656250 1783103300.8651
MEM 114.562500 1783103300.9701
MEM 117.015625 1783103301.0752
MEM 118.812500 1783103301.1803
MEM 121.359375 1783103301.2853
MEM 122.921875 1783103301.3903
MEM 125.140625 1783103301.4955
MEM 127.171875 1783103301.6006
MEM 133.703125 1783103301.7057
MEM 136.500000 1783103301.8107
MEM 139.015625 1783103301.9158
MEM 141.875000 1783103302.0161
MEM 144.109375 1783103302.1212
MEM 145.921875 1783103302.2262
MEM 148.375000 1783103302.3313
MEM 150.593750 1783103302.4363
MEM 152.921875 1783103302.5413
MEM 154.859375 1783103302.6464
MEM 156.515625 1783103302.7515
MEM 159.218750 1783103302.8565
MEM 161.250000 1783103302.9616
MEM 163.250000 1783103303.0666
MEM 166.187500 1783103303.1717
MEM 169.015625 1783103303.2767
MEM 171.203125 1783103303.3818
MEM 173.140625 1783103303.4868
MEM 183.171875 1783103303.5919
MEM 184.750000 1783103303.6969
MEM 186.562500 1783103303.8020
MEM 187.734375 1783103303.9072
MEM 189.531250 1783103304.0123
MEM 191.203125 1783103304.1137
MEM 193.875000 1783103304.2188
MEM 196.781250 1783103304.3238
MEM 199.781250 1783103304.4289
